,Compound_Score,Date,Followers,Negative_Score,Neutral_Score,Positive_Score,Screen_Name,Tweet_Text
100,-0.34,Sat Feb 03 03:05:01 +0000 2018,6382266,0.112,0.888,0.0,CBS News,"After Los Angeles school shooting, detectives are trying to figure out where 12-year-old girl got gun, which was un… https://t.co/rki36hLpOG"
101,0.1027,Sat Feb 03 03:00:13 +0000 2018,6382266,0.15,0.631,0.218,CBS News,"Hawaii man who sent alert says he was ""100 percent sure"" attack was real https://t.co/mRIeUiFvxS https://t.co/QFPROJcZlC"
102,-0.2382,Sat Feb 03 02:45:01 +0000 2018,6382266,0.109,0.891,0.0,CBS News,"Trump administration will continue much of the Obama administration's nuclear weapons policy, but take a more aggre… https://t.co/dPv0zo7wQM"
103,0.5994,Sat Feb 03 02:25:01 +0000 2018,6382266,0.0,0.822,0.178,CBS News,"Even by Minnesota standards, Super Bowl Sunday will be shivering; the predicted kickoff temperature is just nine de… https://t.co/dcaGcWPrvb"
104,-0.7351,Sat Feb 03 02:05:01 +0000 2018,6382266,0.256,0.744,0.0,CBS News,"For the first time, an anguished father heard exactly how Larry Nassar sexually assaulted his daughters when they w… https://t.co/hOTnhqaRxj"
105,0.0,Sat Feb 03 01:45:02 +0000 2018,6382266,0.0,1.0,0.0,CBS News,"What are some of the factors behind the Dow plunge?
https://t.co/K4YL4h4S9u https://t.co/sWUEKQCA7i"
106,-0.891,Sat Feb 03 01:25:01 +0000 2018,6382266,0.414,0.586,0.0,CBS News,Woman who was forced to marry her rapist as an 11-year-old child fights to change Florida law… https://t.co/7PkHZsBACA
107,-0.7564,Sat Feb 03 01:05:01 +0000 2018,6382266,0.236,0.764,0.0,CBS News,"At least 16 more children died of the flu over the past week and more states are reporting high levels of illness,… https://t.co/1oQNulGpb3"
108,0.4939,Sat Feb 03 00:45:26 +0000 2018,6382266,0.0,0.842,0.158,CBS News,"In one of the largest personal collections of anything in America, an 87-year-old's fascination with antique washin… https://t.co/SR08YPIytT"
109,0.0,Sat Feb 03 00:25:01 +0000 2018,6382266,0.0,1.0,0.0,CBS News,"Coordinator of women's national team for USA Gymnastics steps down, the latest departure to rock the embattled orga… https://t.co/xqax6ce5XQ"
